condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit,1734.39741666317,-1812.445300413012,5281.240133739352,229475321.31770864,229477055.71512526
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_satisfaction_index,7.636671183845294e-09,-7.980321387118332e-09,2.325366375480892e-08,0.0002194148920583186,0.00021942252872950244
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_fill_rate,1.2969919329040384e-08,-1.3553565698847194e-08,3.949340435692796e-08,5.948459457998679e-05,5.949756449931583e-05
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",costs_tech,-867.708479166776,-2642.172319062833,906.7553607292812,43959051.04377083,43958183.33529166
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adoptions,0.0,0.0,0.0,52.24791666666667,52.24791666666667
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",coalitions,0.0,0.0,0.0,3.4166666666666665,3.4166666666666665
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",mean_adopt_week,0.0,0.0,0.0,29.32598040698247,29.32598040698247
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_ml_forecast,0.0,0.0,0.0,12.022916666666667,12.022916666666667
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_control_tower,0.0020833333333333333,-0.0021770833333333325,0.006343749999999999,12.28125,12.283333333333333
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_rfid,0.0,0.0,0.0,17.735416666666666,17.735416666666666
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_routing,-0.0020833333333333333,-0.006343749999999999,0.0021770833333333325,2.7916666666666665,2.7895833333333333
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_blockchain,0.0,0.0,0.0,7.416666666666667,7.416666666666667
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_dyad,0.0,0.0,0.0,1.3625,1.3625
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_triad,0.0,0.0,0.0,0.3125,0.3125
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_chain,0.0,0.0,0.0,1.7416666666666667,1.7416666666666667
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",formed_network,0.0,0.0,0.0,0.0,0.0
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",failed_acceptance,0.0020833333333333333,-0.0021770833333333325,0.006343749999999999,92.58333333333333,92.58541666666666
calm,budget_share,"(0.01, 0.04)","(0.05, 0.2)",failed_budget,0.0,0.0,0.0,0.0,0.0
calm,horizon_weeks,"(13, 52)","(52, 156)",d_network_profit,65094008.65558329,35449743.79967938,94738273.5114872,196929184.18862528,262023192.8442086
calm,horizon_weeks,"(13, 52)","(52, 156)",d_satisfaction_index,9.740728955761382e-05,-7.931748200158488e-07,0.00019560775393524349,0.00017071506561510362,0.00026812235517271744
